FFFFEED 2016/05/26 18:10:55 -I- ----------------------------------------------
FFFFEED 2016/05/26 18:10:55 -I- FFF-Verify Batch Feeder To Rdbms
FFFFEED 2016/05/26 18:10:55 -I- ----------------------------------------------
FFFFEED 2016/05/26 18:10:55 -I- Start.
FFFFEED 2016/05/26 18:10:55 -I- *** Version:  V4.5.5.0 / 25/05/2016 10:01:02
FFFFEED 2016/05/26 18:10:55 -I- *** Platform: WIN32 / TCPIP/SOCKET
FFFFEED 2016/05/26 18:10:55 -I- 120 (hits) 75 (records)
FFFFEED 2016/05/26 18:10:55 -I- 121 (hits) 75 (records)
FFFFEED 2016/05/26 18:10:55 -I- 122 (hits) 75 (records)
FFFFEED 2016/05/26 18:10:55 -I- 123 (hits) 75 (records)
FFFFEED 2016/05/26 18:10:55 -I- 124 (hits) 76 (records)
FFFFEED 2016/05/26 18:10:55 -I- 125 (hits) 77 (records)
FFFFEED 2016/05/26 18:10:55 -I- 126 (hits) 77 (records)
FFFFEED 2016/05/26 18:10:55 -I- 127 (hits) 77 (records)
FFFFEED 2016/05/26 18:10:55 -I- 128 (hits) 77 (records)
FFFFEED 2016/05/26 18:10:55 -I- 129 (hits) 78 (records)
FFFFEED 2016/05/26 18:10:55 -I- 130 (hits) 79 (records)
FFFFEED 2016/05/26 18:10:55 -I- 131 (hits) 80 (records)
FFFFEED 2016/05/26 18:10:55 -I- 132 (hits) 81 (records)
FFFFEED 2016/05/26 18:10:55 -I- 133 (hits) 82 (records)
FFFFEED 2016/05/26 18:10:55 -I- 134 (hits) 83 (records)
FFFFEED 2016/05/26 18:10:55 -I- 135 (hits) 84 (records)
FFFFEED 2016/05/26 18:10:55 -I- 136 (hits) 85 (records)
FFFFEED 2016/05/26 18:10:55 -I- 137 (hits) 86 (records)
FFFFEED 2016/05/26 18:10:55 -I- 138 (hits) 87 (records)
FFFFEED 2016/05/26 18:10:55 -I- 139 (hits) 88 (records)
FFFFEED 2016/05/26 18:10:55 -I- 140 (hits) 89 (records)
FFFFEED 2016/05/26 18:10:55 -I- 141 (hits) 90 (records)
FFFFEED 2016/05/26 18:10:55 -I- 142 (hits) 91 (records)
FFFFEED 2016/05/26 18:10:55 -I- 143 (hits) 92 (records)
FFFFEED 2016/05/26 18:10:55 -I- 144 (hits) 93 (records)
FFFFEED 2016/05/26 18:10:55 -I- 145 (hits) 93 (records)
FFFFEED 2016/05/26 18:10:55 -I- 146 (hits) 93 (records)
FFFFEED 2016/05/26 18:10:55 -I- 147 (hits) 93 (records)
FFFFEED 2016/05/26 18:10:55 -I- 148 (hits) 93 (records)
FFFFEED 2016/05/26 18:10:55 -I- 149 (hits) 94 (records)
FFFFEED 2016/05/26 18:10:56 -I- 150 (hits) 95 (records)
FFFFEED 2016/05/26 18:10:56 -I- 151 (hits) 96 (records)
FFFFEED 2016/05/26 18:10:56 -I- 152 (hits) 97 (records)
FFFFEED 2016/05/26 18:10:56 -I- 153 (hits) 98 (records)
FFFFEED 2016/05/26 18:10:56 -I- 154 (hits) 99 (records)
FFFFEED 2016/05/26 18:10:56 -I- 155 (hits) 100 (records)
FFFFEED 2016/05/26 18:10:56 -I- 156 (hits) 101 (records)
FFFFEED 2016/05/26 18:10:56 -I- 157 (hits) 102 (records)
FFFFEED 2016/05/26 18:10:56 -I- 158 (hits) 102 (records)
FFFFEED 2016/05/26 18:10:56 -I- 159 (hits) 103 (records)
FFFFEED 2016/05/26 18:10:56 -I- 160 (hits) 103 (records)
FFFFEED 2016/05/26 18:10:56 -I- 161 (hits) 103 (records)
FFFFEED 2016/05/26 18:10:56 -I- 162 (hits) 103 (records)
FFFFEED 2016/05/26 18:10:56 -I- 163 (hits) 103 (records)
FFFFEED 2016/05/26 18:10:56 -I- 164 (hits) 103 (records)
FFFFEED 2016/05/26 18:10:56 -I- 165 (hits) 104 (records)
FFFFEED 2016/05/26 18:10:56 -I- 166 (hits) 105 (records)
FFFFEED 2016/05/26 18:10:56 -I- 167 (hits) 106 (records)
FFFFEED 2016/05/26 18:10:56 -I- 168 (hits) 107 (records)
FFFFEED 2016/05/26 18:10:56 -I- 169 (hits) 108 (records)
FFFFEED 2016/05/26 18:10:56 -I- 170 (hits) 109 (records)
FFFFEED 2016/05/26 18:10:56 -I- 171 (hits) 109 (records)
FFFFEED 2016/05/26 18:10:56 -I- 172 (hits) 109 (records)
FFFFEED 2016/05/26 18:10:56 -I- 173 (hits) 109 (records)
FFFFEED 2016/05/26 18:10:56 -I- 174 (hits) 109 (records)
FFFFEED 2016/05/26 18:10:56 -I- 175 (hits) 109 (records)
FFFFEED 2016/05/26 18:10:56 -I- 176 (hits) 110 (records)
FFFFEED 2016/05/26 18:10:56 -I- 177 (hits) 111 (records)
FFFFEED 2016/05/26 18:10:56 -I- 178 (hits) 112 (records)
FFFFEED 2016/05/26 18:10:56 -I- 179 (hits) 113 (records)
FFFFEED 2016/05/26 18:10:56 -I- 180 (hits) 114 (records)
FFFFEED 2016/05/26 18:10:56 -I- 181 (hits) 114 (records)
FFFFEED 2016/05/26 18:10:56 -I- 182 (hits) 115 (records)
FFFFEED 2016/05/26 18:10:56 -I- 183 (hits) 116 (records)
FFFFEED 2016/05/26 18:10:56 -I- 184 (hits) 117 (records)
FFFFEED 2016/05/26 18:10:56 -I- 185 (hits) 118 (records)
FFFFEED 2016/05/26 18:10:56 -I- 186 (hits) 118 (records)
FFFFEED 2016/05/26 18:10:56 -I- 187 (hits) 119 (records)
FFFFEED 2016/05/26 18:10:56 -I- 188 (hits) 120 (records)
FFFFEED 2016/05/26 18:10:56 -I- 189 (hits) 121 (records)
FFFFEED 2016/05/26 18:10:56 -I- 190 (hits) 122 (records)
FFFFEED 2016/05/26 18:10:56 -I- 191 (hits) 123 (records)
FFFFEED 2016/05/26 18:10:56 -I- 192 (hits) 124 (records)
FFFFEED 2016/05/26 18:10:56 -I- 193 (hits) 125 (records)
FFFFEED 2016/05/26 18:10:56 -I- 194 (hits) 126 (records)
FFFFEED 2016/05/26 18:10:56 -I- 195 (hits) 127 (records)
FFFFEED 2016/05/26 18:10:56 -I- 196 (hits) 128 (records)
FFFFEED 2016/05/26 18:10:56 -I- 197 (hits) 129 (records)
FFFFEED 2016/05/26 18:10:56 -I- 198 (hits) 130 (records)
FFFFEED 2016/05/26 18:10:56 -I- 199 (hits) 131 (records)
FFFFEED 2016/05/26 18:10:56 -I- 200 (hits) 131 (records)
FFFFEED 2016/05/26 18:10:56 -I- 201 (hits) 131 (records)
FFFFEED 2016/05/26 18:10:56 -I- 202 (hits) 131 (records)
FFFFEED 2016/05/26 18:10:56 -I- Total hits: 202 / Total records: 131
FFFFEED 2016/05/26 18:10:56 -I- File parsed successfully !
FFFFEED 2016/05/26 18:10:56 -I- Log properly set.
FFFFEED 2016/05/26 18:10:56 -E- In function Stil_SqlInitDbConnection:
FFFFEED 2016/05/26 18:10:56 -E- ODBC STATE : '28000'
FFFFEED 2016/05/26 18:10:56 -E- ODBC MSG : '[Microsoft][SQL Server Native Client 11.0][SQL Server]Login failed for user 'TRUST_455'.'
FFFFEED 2016/05/26 18:10:56 -E- SQL : SqlError (StilSqlOpenDb)
FFFFEED 2016/05/26 18:10:56 -E- SQL : SqlError (FofFeedProcess)
FFFFEED 2016/05/26 18:10:56 -E- Process Failed. Please check logs.
FFFFEED 2016/05/26 18:11:42 -I- ----------------------------------------------
FFFFEED 2016/05/26 18:11:42 -I- FFF-Verify Batch Feeder To Rdbms
FFFFEED 2016/05/26 18:11:42 -I- ----------------------------------------------
FFFFEED 2016/05/26 18:11:42 -I- Start.
FFFFEED 2016/05/26 18:11:42 -I- *** Version:  V4.5.5.0 / 25/05/2016 10:01:02
FFFFEED 2016/05/26 18:11:42 -I- *** Platform: WIN32 / TCPIP/SOCKET
FFFFEED 2016/05/26 18:11:42 -I- *** Architecture: 32 bits
FFFFEED 2016/05/26 18:11:42 -I- FFF-Verify Rdbms:         TRUST_455_500
FFFFEED 2016/05/26 18:11:42 -I- FFF-Verify Rdbms User:    sa
FFFFEED 2016/05/26 18:11:42 -I- Unit attached to hits:    CLEAR_5
FFFFEED 2016/05/26 18:11:42 -I- Hits file to load:        HitsList.xml
FFFFEED 2016/05/26 18:11:42 -I- Hits file binary:         No
FFFFEED 2016/05/26 18:11:42 -I- Force update of fields:   Yes
FFFFEED 2016/05/26 18:11:42 -I- Convert from ebcdic:      No
FFFFEED 2016/05/26 18:11:42 -I- Temporary file:           
FFFFEED 2016/05/26 18:11:42 -I- Classic merge mode:       0
FFFFEED 2016/05/26 18:11:42 -I- Merge mode algo:          FULL
FFFFEED 2016/05/26 18:11:42 -I- Initialising
FFFFEED 2016/05/26 18:11:42 -I- Initialising done.
FFFFEED 2016/05/26 18:11:42 -I- No format to re-apply.
FFFFEED 2016/05/26 18:11:42 -I- Using XML parser: 'XERCES'
FFFFEED 2016/05/26 18:11:42 -I- Insertion frequency: '1' records
FFFFEED 2016/05/26 18:11:42 -I- Setting file encoding: 'UTF-8'
FFFFEED 2016/05/26 18:11:42 -I- Please wait while parsing ...
FFFFEED 2016/05/26 18:11:42 -I- 1 (hits) 1 (records)
FFFFEED 2016/05/26 18:11:42 -I- 2 (hits) 2 (records)
FFFFEED 2016/05/26 18:11:42 -I- 3 (hits) 2 (records)
FFFFEED 2016/05/26 18:11:42 -I- 4 (hits) 3 (records)
FFFFEED 2016/05/26 18:11:42 -I- 5 (hits) 3 (records)
FFFFEED 2016/05/26 18:11:42 -I- 6 (hits) 3 (records)
FFFFEED 2016/05/26 18:11:42 -I- 7 (hits) 4 (records)
FFFFEED 2016/05/26 18:11:42 -I- 8 (hits) 4 (records)
FFFFEED 2016/05/26 18:11:42 -I- 9 (hits) 5 (records)
FFFFEED 2016/05/26 18:11:42 -I- 10 (hits) 6 (records)
FFFFEED 2016/05/26 18:11:42 -I- 11 (hits) 6 (records)
FFFFEED 2016/05/26 18:11:42 -I- 12 (hits) 6 (records)
FFFFEED 2016/05/26 18:11:42 -I- 13 (hits) 7 (records)
FFFFEED 2016/05/26 18:11:42 -I- 14 (hits) 8 (records)
FFFFEED 2016/05/26 18:11:42 -I- 15 (hits) 9 (records)
FFFFEED 2016/05/26 18:11:42 -I- 16 (hits) 10 (records)
FFFFEED 2016/05/26 18:11:42 -I- 17 (hits) 11 (records)
FFFFEED 2016/05/26 18:11:42 -I- 18 (hits) 12 (records)
FFFFEED 2016/05/26 18:11:42 -I- 19 (hits) 13 (records)
FFFFEED 2016/05/26 18:11:42 -I- 20 (hits) 14 (records)
FFFFEED 2016/05/26 18:11:42 -I- 21 (hits) 15 (records)
FFFFEED 2016/05/26 18:11:42 -I- 22 (hits) 16 (records)
FFFFEED 2016/05/26 18:11:42 -I- 23 (hits) 17 (records)
FFFFEED 2016/05/26 18:11:42 -I- 24 (hits) 18 (records)
FFFFEED 2016/05/26 18:11:42 -I- 25 (hits) 19 (records)
FFFFEED 2016/05/26 18:11:42 -I- 26 (hits) 20 (records)
FFFFEED 2016/05/26 18:11:42 -I- 27 (hits) 21 (records)
FFFFEED 2016/05/26 18:11:42 -I- 28 (hits) 22 (records)
FFFFEED 2016/05/26 18:11:42 -I- 29 (hits) 23 (records)
FFFFEED 2016/05/26 18:11:42 -I- 30 (hits) 24 (records)
FFFFEED 2016/05/26 18:11:42 -I- 31 (hits) 24 (records)
FFFFEED 2016/05/26 18:11:42 -I- 32 (hits) 24 (records)
FFFFEED 2016/05/26 18:11:42 -I- 33 (hits) 24 (records)
FFFFEED 2016/05/26 18:11:42 -I- 34 (hits) 25 (records)
FFFFEED 2016/05/26 18:11:42 -I- 35 (hits) 26 (records)
FFFFEED 2016/05/26 18:11:42 -I- 36 (hits) 27 (records)
FFFFEED 2016/05/26 18:11:42 -I- 37 (hits) 28 (records)
